Team,ERA_x,WHIP_x,SO_x,OBA_x,HR_allowed,GP,AB,R,H_x,2B,3B,HR,RBI,TB,BB_x,SO_y,SB,AVG,OBP,SLG,OPS,GP_field,W,L,ERA_y,SV,CG,SHO,QS,IP,H_y,ER,HR_field,BB_y,SO_field,OBA_y,WHIP_y
Tampa Bay Rays,3.08,1.03,150,0.198,21,49,1638,193,395,68,3,44,185,601,150,415,67,0.241,0.306,0.367,0.673,49,23,26,3.88,12,0,3,23,438.2,396,189,70,137,381,0.242,1.22
San Francisco Giants,4.07,1.2,173,0.227,20,50,1657,230,391,79,7,53,220,643,177,426,25,0.236,0.313,0.388,0.701,50,29,21,3.34,14,0,2,22,442.0,390,164,39,153,425,0.236,1.23
Seattle Mariners,4.34,1.46,166,0.256,22,48,1622,227,382,63,2,66,219,647,191,423,47,0.236,0.324,0.399,0.723,48,28,20,3.62,17,0,1,17,437.2,414,176,47,153,398,0.248,1.3
Cleveland Guardians,4.14,1.38,158,0.251,23,48,1557,192,365,65,3,53,181,595,154,374,36,0.234,0.307,0.382,0.689,48,26,22,4.12,14,0,6,9,421.2,418,193,53,176,407,0.259,1.41
Baltimore Orioles,4.07,1.15,137,0.22,12,48,1598,183,371,66,7,56,174,619,134,430,26,0.232,0.299,0.387,0.686,48,16,32,5.45,7,0,1,12,418.0,448,253,76,169,365,0.274,1.48
Milwaukee Brewers,3.92,1.35,141,0.247,20,50,1647,212,377,65,5,41,192,575,172,407,65,0.229,0.308,0.349,0.657,50,24,26,4.11,10,0,5,10,439.2,399,201,55,182,402,0.241,1.32
Texas Rangers,4.44,1.43,118,0.279,17,50,1619,171,370,61,5,54,168,603,127,398,43,0.229,0.289,0.372,0.662,50,25,25,3.3,14,1,5,22,436.1,358,160,43,137,391,0.222,1.13
Los Angeles Angels,3.92,1.34,160,0.247,18,48,1595,202,359,69,6,73,195,659,121,470,23,0.225,0.286,0.413,0.7,48,23,25,5.01,12,0,2,21,420.0,440,234,68,189,354,0.27,1.5
Colorado Rockies,4.22,1.21,180,0.194,20,49,1621,164,355,77,13,43,163,587,140,480,24,0.219,0.286,0.362,0.648,49,8,41,5.92,6,0,0,10,424.0,519,279,63,171,314,0.301,1.63
Pittsburgh Pirates,5.05,1.52,150,0.274,20,50,1641,146,357,54,7,33,143,524,173,433,51,0.218,0.298,0.319,0.617,50,17,33,3.97,10,1,5,23,444.0,397,196,39,160,367,0.239,1.25
Chicago White Sox,5.29,1.59,119,0.29,26,50,1619,164,350,65,1,40,159,537,151,423,40,0.216,0.286,0.332,0.618,50,15,35,4.19,4,0,4,15,429.1,410,200,54,189,355,0.249,1.4
